보고일자,지역,위도,경도,해파리크기,밀집여부
2016-08-04,충남 서산 팔봉면 가로리만 일대,36.925,126.328,,
2016-08-04,충남 부석면 천수만 태안 근해,36.597,126.394,30,y
2016-08-04,전라북도 군산시 옥도면 연도 안쪽,36.02449,126.495,40,y
2016-08-04,"전북 군산시 옥도면 무녀도리 고군산 근해, 직도 근해",35.814,126.426,,
2016-08-04,전북 군산시 비응도 군산해역,35.98,126.513,50-70,y
2016-08-04,전북 군산시 나운동 밖 해역,35.989,126.647,10,y
2016-08-04,전북 군산시 나운동 밖 해역,35.989,126.647,60,y
2016-08-04,전북 군산시 옥도면 야미도 근해,35.862,126.48,10-30,y
2016-08-04,전북 고창군 해리면 광승리 근해,35.513,126.469,,
2016-08-04,전라남도 장흥군 득량만 근해,34.596,127.074,30,y
2016-08-04,경남 통영시 욕지도 근해,34.657,128.289,70,y
2016-08-04,경남 거제시 가조도 일대,34.982,128.548,30,y
2016-08-04,경남 거제시 가조도 일대,34.982,128.548,40,y
2016-08-04,경남 고성군 연화도 근해,34.654,128.373,,y
2016-08-04,경남 통영시 광도면 죽림만,34.87833,128.424,30,y
2016-08-04,경남 통영시 광도면 죽림만,34.87833,128.424,15,y
2016-08-04,경남 통영시 사천바다 사량도 내해,34.862,128.181,40,y
2016-08-04,경남 창원시(진해잠도) 마산만 일대,35.084,128.65,35,y
